date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,win,team_prob,opp_prob,row_id,logit_prob,set,market_prob,EV,edge,profit,ev_bucket
2007-10-30,2008,Utah,@,Golden State,117,96,100.0,-120.0,212.0,1.0,105.5,1,0.5,0.5454545454545454,0,0.4754845648698342,train,0.5,-0.04903087026033154,-0.024515435130165797,1.0,0
2007-10-30,2008,LA Lakers,vs,Houston,93,95,190.0,-230.0,199.0,5.0,99.0,0,0.3448275862068966,0.696969696969697,1,0.333008510795173,train,0.3448275862068966,-0.03427531869399825,-0.011819075411723556,-1.0,7
2007-10-30,2008,Houston,@,LA Lakers,95,93,-230.0,190.0,199.0,-5.0,99.0,1,0.696969696969697,0.3448275862068966,2,0.6693136026036851,train,0.696969696969697,-0.039680483220799645,-0.027656094366011907,0.43478260869565216,2
2007-10-30,2008,San Antonio,vs,Portland,106,97,-1400.0,900.0,189.5,-13.0,95.0,1,0.9333333333333332,0.1,3,0.9076640309457542,train,0.9333333333333333,-0.02750282398669192,-0.02566930238757914,0.07142857142857142,8
2007-10-30,2008,Portland,@,San Antonio,97,106,900.0,-1400.0,189.5,13.0,95.0,0,0.1,0.9333333333333332,4,0.0991500083186553,train,0.1,-0.008499916813447084,-0.0008499916813447111,-1.0,9
2007-10-30,2008,Golden State,vs,Utah,96,117,-120.0,100.0,212.0,-1.0,105.5,0,0.5454545454545454,0.5,5,0.5252382448110001,train,0.5454545454545454,-0.03706321784649974,-0.020216300643545293,-1.0,4
2007-10-31,2008,New Jersey,vs,Chicago,112,103,-125.0,105.0,186.0,-1.5,94.0,1,0.5555555555555556,0.4878048780487805,6,0.5359496708834969,train,0.5555555555555556,-0.03529059240970561,-0.019605884672058704,0.8,6
2007-10-31,2008,Dallas,@,Cleveland,92,74,-140.0,120.0,184.0,-2.5,91.5,1,0.5833333333333334,0.4545454545454545,7,0.5628950443750814,train,0.5833333333333334,-0.03503706678557472,-0.02043828895825195,0.7142857142857143,6
2007-10-31,2008,Cleveland,vs,Dallas,74,92,120.0,-140.0,184.0,2.5,91.5,0,0.4545454545454545,0.5833333333333334,8,0.4337551861155891,train,0.45454545454545453,-0.04573859054570406,-0.02079026842986542,-1.0,1
2007-10-31,2008,Seattle,@,Denver,103,120,625.0,-825.0,217.5,11.5,107.5,0,0.1379310344827586,0.8918918918918919,9,0.1404754231747961,train,0.13793103448275862,0.01844681801727177,0.0025443886920374914,-1.0,9
2007-10-31,2008,Washington,@,Indiana,110,119,-125.0,105.0,203.5,-1.5,105.0,0,0.5555555555555556,0.4878048780487805,10,0.5357211478306274,train,0.5555555555555556,-0.03570193390487064,-0.01983440772492817,-1.0,6
2007-10-31,2008,San Antonio,@,Memphis,104,101,-250.0,210.0,201.0,-6.5,99.5,1,0.7142857142857143,0.3225806451612903,11,0.68815972545908,train,0.7142857142857143,-0.036576384357287994,-0.026125988826634305,0.4,5
2007-10-31,2008,Orlando,vs,Milwaukee,102,83,-295.0,245.0,197.0,-6.5,97.0,1,0.7468354430379747,0.2898550724637681,12,0.7181428024324177,train,0.7468354430379747,-0.03841895945489837,-0.028692640605556985,0.3389830508474576,3
2007-10-31,2008,Chicago,@,New Jersey,103,112,105.0,-125.0,186.0,1.5,94.0,0,0.4878048780487805,0.5555555555555556,13,0.4645395866832941,train,0.4878048780487805,-0.04769384729924708,-0.023265291365486385,-1.0,1
2007-10-31,2008,Sacramento,@,New Orleans,90,104,425.0,-525.0,190.5,9.5,94.0,0,0.1904761904761904,0.84,14,0.1919112300559588,train,0.19047619047619047,0.007533957793783741,0.0014350395797683435,-1.0,9
2007-10-31,2008,Milwaukee,@,Orlando,83,102,245.0,-295.0,197.0,6.5,97.0,0,0.2898550724637681,0.7468354430379747,15,0.2831689483516949,train,0.2898550724637681,-0.023067128186652464,-0.0066861241120731996,-1.0,8
2007-10-31,2008,Toronto,vs,Philadelphia,106,97,-305.0,255.0,191.0,-6.5,96.5,1,0.7530864197530864,0.2816901408450704,16,0.7243333909288732,train,0.7530864197530864,-0.0381802513895291,-0.028753028824213267,0.32786885245901637,3
2007-10-31,2008,New Orleans,vs,Sacramento,104,90,-525.0,425.0,190.5,-9.5,94.0,1,0.84,0.1904761904761904,17,0.8111790291066632,train,0.84,-0.03431067963492479,-0.028820970893336795,0.19047619047619047,7
2007-10-31,2008,Memphis,vs,San Antonio,101,104,210.0,-250.0,201.0,6.5,99.5,0,0.3225806451612903,0.7142857142857143,18,0.3114512467369073,train,0.3225806451612903,-0.03450113511558739,-0.011129398424383041,-1.0,7
2007-10-31,2008,Denver,vs,Seattle,120,103,-825.0,625.0,217.5,-11.5,107.5,1,0.8918918918918919,0.1379310344827586,19,0.8642759403727032,train,0.8918918918918919,-0.03096333958212069,-0.02761595151918872,0.12121212121212122,7
2007-10-31,2008,Philadelphia,@,Toronto,97,106,255.0,-305.0,191.0,6.5,96.5,0,0.2816901408450704,0.7530864197530864,20,0.2764954730467416,train,0.28169014084507044,-0.018441070684067307,-0.005194667798328834,-1.0,8
2007-10-31,2008,Indiana,vs,Washington,119,110,105.0,-125.0,203.5,1.5,105.0,1,0.4878048780487805,0.5555555555555556,21,0.4643110171523223,train,0.4878048780487805,-0.0481624148377392,-0.023493860896458163,1.05,0
2007-11-01,2008,Miami,vs,Detroit,80,91,160.0,-190.0,178.5,4.0,89.5,0,0.3846153846153846,0.6551724137931034,22,0.3699913133183933,train,0.38461538461538464,-0.0380225853721774,-0.014624071296991337,-1.0,3
2007-11-01,2008,Utah,vs,Houston,95,106,-160.0,140.0,193.0,-3.0,98.5,0,0.6153846153846154,0.4166666666666667,23,0.592837277231363,train,0.6153846153846154,-0.03663942449903507,-0.022547338153252383,-1.0,5
2007-11-01,2008,Detroit,@,Miami,91,80,-190.0,160.0,178.5,-4.0,89.5,1,0.6551724137931034,0.3846153846153846,24,0.6301390207658433,train,0.6551724137931034,-0.038208863041607644,-0.025033393027260153,0.5263157894736842,3
2007-11-01,2008,Seattle,vs,Phoenix,99,106,575.0,-725.0,224.5,12.0,112.5,0,0.1481481481481481,0.8787878787878788,25,0.1503326534854437,train,0.14814814814814814,0.01474541102674487,0.002184505337295556,-1.0,9
2007-11-01,2008,Phoenix,@,Seattle,106,99,-725.0,575.0,224.5,-12.0,112.5,1,0.8787878787878788,0.1481481481481481,26,0.8521022648687246,train,0.8787878787878788,-0.03036638825283057,-0.02668561391915414,0.13793103448275862,7
2007-11-01,2008,Houston,@,Utah,106,95,140.0,-160.0,193.0,3.0,98.5,1,0.4166666666666667,0.6153846153846154,27,0.4001992944799031,train,0.4166666666666667,-0.039521693248232626,-0.016467372186763585,1.4,2
2007-11-02,2008,Dallas,@,Atlanta,94,101,-250.0,210.0,191.0,-5.5,94.5,0,0.7142857142857143,0.3225806451612903,28,0.6865636457610323,train,0.7142857142857143,-0.03881089593455472,-0.027722068524681953,-1.0,2
2007-11-02,2008,Washington,@,Boston,83,103,285.0,-335.0,205.5,7.5,105.0,0,0.2597402597402597,0.7701149425287356,29,0.2561123279990245,train,0.2597402597402597,-0.013967537203755653,-0.003627931741235213,-1.0,9
2007-11-02,2008,Milwaukee,@,Charlotte,99,102,150.0,-170.0,196.5,4.0,96.5,0,0.4,0.6296296296296297,30,0.3836753796881135,train,0.4,-0.04081155077971632,-0.01632462031188653,-1.0,2
2007-11-02,2008,Philadelphia,@,Chicago,96,85,400.0,-500.0,190.0,9.5,94.0,1,0.2,0.8333333333333334,31,0.2000731472805654,train,0.2,0.0003657364028271104,7.314728056539987e-05,4.0,9
2007-11-02,2008,New York,@,Cleveland,106,110,210.0,-250.0,186.0,6.0,94.0,0,0.3225806451612903,0.7142857142857143,32,0.3127192265951907,train,0.3225806451612903,-0.030570397554908868,-0.009861418566099622,-1.0,7
2007-11-02,2008,Atlanta,vs,Dallas,101,94,210.0,-250.0,191.0,5.5,94.5,1,0.3225806451612903,0.7142857142857143,33,0.3134102342142911,train,0.3225806451612903,-0.02842827393569758,-0.009170410946999219,2.1,7
2007-11-02,2008,Minnesota,vs,Denver,91,99,315.0,-375.0,208.5,7.5,104.0,0,0.2409638554216867,0.7894736842105263,34,0.2394437084255667,train,0.24096385542168675,-0.006308610033898154,-0.0015201469961200476,-1.0,9
2007-11-02,2008,Orlando,vs,Detroit,92,116,-170.0,150.0,183.5,-4.0,93.5,0,0.6296296296296297,0.4,35,0.6079333726171002,train,0.6296296296296297,-0.0344587611375467,-0.02169625701252942,-1.0,7
2007-11-02,2008,LA Clippers,vs,Golden State,120,114,-125.0,105.0,211.0,-1.5,104.5,1,0.5555555555555556,0.4878048780487805,36,0.535298657847383,train,0.5555555555555556,-0.03646241587471066,-0.020256897708172628,0.8,5
2007-11-02,2008,Miami,@,Indiana,85,87,235.0,-275.0,192.0,6.5,96.5,0,0.2985074626865671,0.7333333333333333,37,0.2913621627554334,train,0.29850746268656714,-0.02393675476929802,-0.0071452999311337195,-1.0,8
