date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,win,team_prob,opp_prob,model_prob,decimal_odds,edge,payoff_if_win,ev_market,ev_model,realized_return
2016-02-24,2016,Denver,@,LA Clippers,87,81,600.0,-900.0,214.0,11.0,108.0,1,0.14285714285714285,0.9,0.16519048691998334,7.0,0.022333344062840488,6.0,-1.1102230246251565e-16,0.15633340843988341,6.0
2012-01-27,2012,Charlotte,@,Philadelphia,72,89,1495.0,-3295.0,182.0,15.5,89.5,0,0.06269592476489028,0.9705449189985272,0.10270676144459823,15.95,0.04001083667970795,14.95,-1.1102230246251565e-16,0.6381728450413418,-1.0
2016-01-06,2016,Utah,@,San Antonio,98,123,1100.0,-2500.0,183.5,13.5,95.5,0,0.08333333333333333,0.9615384615384616,0.12364455479387297,12.0,0.04031122146053964,11.0,0.0,0.4837346575264756,-1.0
2018-11-28,2019,Chicago,@,Milwaukee,113,116,1100.0,-2500.0,230.0,15.0,117.5,0,0.08333333333333333,0.9615384615384616,0.11070034719222996,12.0,0.02736701385889663,11.0,0.0,0.3284041663067595,-1.0
2019-01-16,2019,Cleveland,@,Portland,112,129,950.0,-1800.0,217.5,14.0,112.5,0,0.09523809523809523,0.9473684210526315,0.12200892275766236,10.5,0.026770827519567122,9.5,-1.1102230246251565e-16,0.2810936889554547,-1.0
2011-01-21,2011,Toronto,@,Orlando,72,112,950.0,-1500.0,207.0,12.5,103.0,0,0.09523809523809523,0.9375,0.13833834198483652,10.5,0.04310024674674129,9.5,-1.1102230246251565e-16,0.4525525908407835,-1.0
2011-01-07,2011,Toronto,@,Boston,102,122,450.0,-600.0,200.5,9.0,98.0,0,0.18181818181818182,0.8571428571428571,0.20217626812696232,5.5,0.0203580863087805,4.5,1.1102230246251565e-16,0.11196947469829277,-1.0
2009-01-22,2009,Washington,@,LA Lakers,97,117,1100.0,-1600.0,208.5,14.0,104.0,0,0.08333333333333333,0.9411764705882353,0.12132762528250368,12.0,0.03799429194917035,11.0,0.0,0.4559315033900442,-1.0
2008-02-22,2008,Milwaukee,@,Detroit,100,127,850.0,-1300.0,190.5,12.5,94.5,0,0.10526315789473684,0.9285714285714286,0.1395656441724116,9.5,0.034302486277674765,8.5,-1.1102230246251565e-16,0.3258736196379102,-1.0
2016-11-14,2017,Philadelphia,@,Houston,88,115,650.0,-1000.0,216.0,11.0,104.5,0,0.13333333333333333,0.9090909090909091,0.163222922474817,7.5,0.02988958914148368,6.5,0.0,0.2241719185611275,-1.0
2015-12-23,2016,LA Lakers,vs,Oklahoma City,85,120,1100.0,-2500.0,207.0,14.0,103.5,0,0.08333333333333333,0.9615384615384616,0.11944174943406514,12.0,0.036108416100731816,11.0,0.0,0.4333009932087817,-1.0
2019-02-09,2019,LA Clippers,@,Boston,123,112,700.0,-1100.0,229.5,11.5,111.5,1,0.125,0.9166666666666666,0.15583794811311805,8.0,0.030837948113118047,7.0,0.0,0.24670358490494437,7.0
2016-04-01,2016,Boston,@,Golden State,109,106,650.0,-1000.0,221.0,11.5,114.0,1,0.13333333333333333,0.9090909090909091,0.15718600153550688,7.5,0.02385266820217355,6.5,0.0,0.17889501151630172,6.5
2008-03-28,2008,LA Clippers,@,Utah,101,121,1750.0,-3500.0,207.0,16.5,102.5,0,0.05405405405405406,0.9722222222222222,0.09442752921104063,18.5,0.04037347515698657,17.5,1.1102230246251565e-16,0.7469092904042516,-1.0
2012-01-07,2012,New Orleans,@,Dallas,81,96,700.0,-1000.0,180.0,11.5,89.5,0,0.125,0.9090909090909091,0.15475168915333978,8.0,0.029751689153339783,7.0,0.0,0.23801351322671827,-1.0
2019-01-11,2019,Chicago,@,Golden State,109,146,1100.0,-2500.0,221.0,15.5,112.5,0,0.08333333333333333,0.9615384615384616,0.1059634878796872,12.0,0.022630154546353864,11.0,0.0,0.27156185455624626,-1.0
2013-03-30,2013,Orlando,@,Atlanta,88,97,560.0,-750.0,202.5,10.5,100.5,0,0.15151515151515152,0.8823529411764706,0.17428051359391,6.6,0.022765362078758483,5.6,0.0,0.150251389719806,-1.0
2012-01-11,2012,New Jersey,@,Denver,115,123,745.0,-1145.0,198.5,12.0,99.0,0,0.11834319526627218,0.9196787148594378,0.14770557364751283,8.45,0.029362378381240645,7.449999999999999,-2.220446049250313e-16,0.2481120973214832,-1.0
2010-02-06,2010,New York,@,Cleveland,106,113,800.0,-1200.0,201.0,12.5,99.0,0,0.1111111111111111,0.9230769230769231,0.14103969612649492,9.0,0.029928585015383813,8.0,0.0,0.26935726513845426,-1.0
2020-01-13,2020,Cleveland,@,LA Lakers,99,128,876.0,-1500.0,222.0,14.0,112.5,0,0.10245901639344263,0.9375,0.12364645688147449,9.76,0.021187440488031867,8.76,1.1102230246251565e-16,0.20678941916319105,-1.0
2008-02-04,2008,Charlotte,@,Phoenix,104,118,1150.0,-1900.0,220.0,14.0,105.0,0,0.08,0.95,0.12062445963164765,12.5,0.04062445963164765,11.5,0.0,0.5078057453955958,-1.0
2009-03-03,2009,Memphis,@,LA Lakers,89,99,1400.0,-2500.0,208.0,15.0,104.0,0,0.06666666666666667,0.9615384615384616,0.10883234920219804,15.0,0.04216568253553138,14.0,0.0,0.6324852380329706,-1.0
2019-02-09,2019,New York,vs,Toronto,99,104,1000.0,-2000.0,215.5,13.5,105.5,0,0.09090909090909091,0.9523809523809523,0.12616387694070924,11.0,0.03525478603161833,10.0,1.1102230246251565e-16,0.3878026463478015,-1.0
2008-11-26,2009,New York,@,Detroit,96,110,1050.0,-1500.0,208.5,13.0,104.0,0,0.08695652173913043,0.9375,0.13223712645156702,11.5,0.045280604712436584,10.5,-1.1102230246251565e-16,0.5207269541930207,-1.0
2008-12-26,2009,Golden State,vs,Boston,99,89,650.0,-900.0,210.0,11.5,104.0,1,0.13333333333333333,0.9,0.15777991837248173,7.5,0.0244465850391484,6.5,0.0,0.18334938779361298,6.5
2015-04-05,2015,LA Lakers,vs,LA Clippers,78,106,1000.0,-2000.0,210.0,14.0,103.0,0,0.09090909090909091,0.9523809523809523,0.12096604174943006,11.0,0.030056950840339144,10.0,1.1102230246251565e-16,0.3306264592437307,-1.0
2012-04-13,2012,Sacramento,@,Oklahoma City,89,115,1075.0,-1600.0,213.0,13.5,105.0,0,0.0851063829787234,0.9411764705882353,0.1266536351915675,11.75,0.041547252212844096,10.75,0.0,0.4881802135009181,-1.0
2015-12-29,2016,Milwaukee,@,Oklahoma City,123,131,1000.0,-2000.0,206.5,13.5,103.0,0,0.09090909090909091,0.9523809523809523,0.12586869630850123,11.0,0.034959605399410315,10.0,1.1102230246251565e-16,0.3845556593935133,-1.0
2008-03-26,2008,New Orleans,@,Cleveland,100,99,1150.0,-1900.0,207.5,13.5,101.5,1,0.08,0.95,0.1252213663789604,12.5,0.04522136637896039,11.5,0.0,0.5652670797370049,11.5
2010-12-03,2011,Minnesota,@,San Antonio,101,107,800.0,-1200.0,210.0,12.0,102.5,0,0.1111111111111111,0.9230769230769231,0.14708659107917563,9.0,0.03597547996806452,8.0,0.0,0.32377931971258067,-1.0
2019-03-29,2019,Washington,@,Utah,124,128,850.0,-1500.0,226.0,13.0,110.5,0,0.10526315789473684,0.9375,0.13443417395685195,9.5,0.029171016062115113,8.5,-1.1102230246251565e-16,0.27712465259009345,-1.0
2018-10-29,2019,Atlanta,@,Philadelphia,92,113,650.0,-1000.0,231.0,11.0,113.5,0,0.13333333333333333,0.9090909090909091,0.16383393595131332,7.5,0.03050060261797999,6.5,0.0,0.22875451963484983,-1.0
